ASBASD,MolLogP,MolWt,NumRotableBonds,TPSA,AromaticProportion
0,2.5954,167.85,0,0,0
1,2.3765,133.405,0,0,0
2,2.5938,167.85,1,0,0
3,2.0289,133.405,1,0,0
4,2.9189,187.375,1,0,0
5,1.81,98.96,0,0,0
6,1.9352,96.944,0,0,0
7,1.4054,118.176,4,18.46,0
8,4.3002,215.894,0,0,0.6
9,2.5654,132.206,0,0,0.6
10,4.3002,215.894,0,0,0.6
11,3.6468,181.449,0,0,0.666666667
12,2.61186,120.195,0,0,0.666666667
13,4.7366,393.698,0,0,0.6
14,4.3002,215.894,0,0,0.6
15,2.92028,134.222,0,0,0.6
16,3.9741,314.802,0,0,0.666666667
17,3.6468,181.449,0,0,0.666666667
18,2.61186,120.195,0,0,0.666666667
19,1.0978,110.112,0,40.46,0.75
20,3.2116,235.906,0,0,0.75
21,1.7762,187.862,1,0,0
22,2.9934,147.004,0,0,0.75
23,1.464,98.96,1,0,0
24,1.8525,112.987,1,0,0
25,2.6496,170.92,1,0,0
26,1.0594,118.176,5,18.46,0
27,2.8114,134.222,2,0,0.6
28,1.503,168.108,2,86.28,0.5
29,0.4051,58.08,0,12.53,0
30,3.9741,314.802,0,0,0.666666667
31,3.6468,181.449,0,0,0.666666667
32,2.61186,120.195,0,0,0.666666667
33,1.4112,213.105,3,129.42,0.4
34,1.0978,110.112,0,40.46,0.75
35,1.3584,54.092,1,0,0
36,3.2116,235.906,0,0,0.75
37,2.9934,147.004,0,0,0.75
38,1.8541,112.987,2,0,0
39,0.4903,132.232,2,24.06,0
40,1.9648,114.094,0,0,0.75
41,3.45664,156.228,0,0,0.833333333
42,1.503,168.108,2,86.28,0.5
43,1.0978,110.112,0,40.46,0.75
44,1.8926,80.13,0,0,0
45,3.2116,235.906,0,0,0.75
46,2.9934,147.004,0,0,0.75
47,2.8114,134.222,2,0,0.6
48,1.9648,114.094,0,0,0.75
49,3.45664,156.228,0,0,0.833333333
50,1.503,168.108,2,86.28,0.5
51,1.7485,68.119,2,0,0
52,3.45664,156.228,0,0,0.833333333
53,2.1386,82.146,3,0,0
54,2.783,180.21,0,25.78,1
55,2.7441,154.253,0,9.23,0
56,4.2693,302.458,0,37.3,0
57,2.9702,194.237,0,38.91,0.933333333
